number,spam_label,reported_by_users,avg_call_frequency,avg_call_duration,no_of_unique_contacts,report_ratio,most_active_hour
8366690206,not_spam,0,3,266,80,0.0,19
6558232445,spam,332,73,53,13,4.79,1
8681622840,not_spam,2,10,315,87,0.04,18
7781262615,not_spam,1,10,582,72,0.04,21
8886543221,not_spam,0,5,442,13,0.01,10
6458050046,not_spam,2,2,330,41,0.01,22
9490471802,spam,471,29,43,9,1.61,6
8415040865,spam,258,40,58,5,1.49,6
9147225599,spam,284,57,45,2,2.35,1
6309127087,not_spam,0,4,115,85,0.02,8
7644139877,not_spam,1,6,301,21,0.02,18
7531800574,not_spam,0,7,343,95,0.04,17
6331331626,spam,132,96,45,2,4.16,2
6902333715,spam,278,59,53,4,4.68,1
8055059868,spam,129,66,44,4,3.95,5
8698264355,spam,408,73,49,4,4.47,2
9519468109,spam,82,72,52,13,3.19,0
9694879633,spam,405,23,29,2,4.29,2
8504340930,spam,196,60,28,15,1.18,2
6480139976,spam,118,70,49,12,3.52,4
8528833357,spam,310,75,12,12,1.09,2
9215121783,spam,358,75,9,2,1.9,3
6031710738,not_spam,2,7,198,100,0.05,22
8938206366,spam,254,63,34,10,3.86,6
8058417580,not_spam,0,2,106,75,0.04,16
8567102090,spam,372,43,19,2,3.07,1
6028019355,not_spam,1,3,427,59,0.0,8
8059078150,not_spam,1,3,395,53,0.04,12
6478915441,not_spam,0,8,419,82,0.0,16
8579200671,not_spam,2,8,345,51,0.02,17
6526902739,not_spam,1,4,232,26,0.04,14
8296633280,spam,292,79,52,2,3.28,2
6894240849,spam,294,71,53,12,1.19,4
6182056318,spam,317,22,31,8,1.03,4
8648953698,not_spam,0,8,183,76,0.0,8
7827809199,spam,125,53,48,6,1.79,5
7084915547,not_spam,1,1,279,52,0.02,13
8516131604,spam,286,56,47,2,2.52,2
6197919325,spam,296,27,58,5,2.6,1
7517557008,not_spam,0,2,527,37,0.02,20
9342694336,spam,442,52,14,9,1.14,1
8511901987,not_spam,0,4,501,29,0.0,20
9292471580,spam,248,48,33,11,3.77,4
8449958866,not_spam,1,9,322,71,0.04,22
9530698130,not_spam,1,7,429,75,0.04,16
6345408943,spam,157,66,50,8,1.19,1
9002812747,not_spam,2,1,274,98,0.03,21
7311921342,spam,147,38,48,2,3.36,1
9376531837,not_spam,1,1,478,19,0.03,8
7178794498,spam,354,44,58,12,4.21,5
8125391865,not_spam,1,8,467,82,0.03,8
9728920477,not_spam,0,5,449,36,0.01,13
9976937056,not_spam,0,10,229,44,0.04,9
7893020062,not_spam,2,3,130,35,0.02,18
8061693815,not_spam,1,8,358,34,0.04,16
8087956255,spam,375,70,58,3,2.93,3
6829686588,spam,168,40,60,7,2.37,6
9336250059,not_spam,0,6,78,19,0.02,12
9354050970,spam,223,26,21,15,1.44,3
7902410633,not_spam,0,10,549,14,0.01,12
8045559279,not_spam,2,2,309,49,0.03,18
6839591396,spam,50,29,15,4,2.3,1
6498832861,not_spam,2,5,535,77,0.03,22
6333437343,not_spam,0,4,482,51,0.03,14
8108076156,not_spam,0,6,78,19,0.02,12
6476899401,spam,83,64,5,10,3.77,4
8140457905,spam,64,67,55,14,1.99,2
6815698068,spam,270,54,15,2,2.12,6
7878581823,not_spam,0,9,108,54,0.04,13
7007963635,not_spam,2,1,317,44,0.05,10
6587203602,not_spam,0,5,69,67,0.01,22
8894944967,not_spam,2,1,186,24,0.05,20
7564199661,spam,145,20,58,9,4.74,2
9227999415,spam,461,25,6,6,3.94,3
7946488264,spam,396,30,25,6,2.13,3
7941139845,not_spam,2,5,541,86,0.0,21
7936196951,spam,204,78,31,3,2.49,0
7853545385,spam,453,25,37,7,3.55,1
7720394093,spam,392,55,5,11,2.88,4
8570420170,not_spam,2,3,275,56,0.05,21
9229291519,spam,76,42,42,10,3.04,3
8146172277,not_spam,1,1,478,19,0.03,8
8492691585,spam,60,72,21,6,4.98,4
8486363137,spam,481,22,7,10,4.19,3
9222469157,spam,198,36,38,6,1.99,3
6792961903,spam,147,38,48,2,3.36,1
7586918386,not_spam,0,6,508,24,0.05,21
9182028085,not_spam,0,10,267,57,0.05,21
7434287691,not_spam,2,2,302,61,0.03,20
8989450966,not_spam,2,9,315,85,0.04,22
6679412102,not_spam,1,8,352,62,0.05,12
6902270017,spam,306,43,35,2,3.48,6
9953422996,spam,214,70,49,11,1.22,6
6200999654,not_spam,0,6,119,74,0.05,20
8101383695,not_spam,2,3,151,27,0.01,8
9124490238,spam,324,73,9,2,3.81,6
8789026565,spam,323,45,24,4,3.7,0
8279018732,spam,405,38,26,7,4.33,2
8982770615,spam,465,72,20,11,3.33,1
7186575417,not_spam,1,4,84,28,0.03,16
7342916281,not_spam,2,1,317,44,0.05,10
9761013739,spam,311,98,50,5,2.06,3
8032673613,not_spam,1,10,264,72,0.02,8
6699939379,spam,77,53,10,8,1.25,0
9996269063,spam,211,73,42,12,2.78,4
9510108795,spam,481,28,10,12,2.14,3
9956224863,spam,60,57,5,7,3.49,6
8157762358,spam,186,94,50,15,2.87,6
8612659917,not_spam,2,4,397,22,0.02,8
6244171996,spam,178,58,29,2,1.36,4
7463211078,not_spam,1,5,445,88,0.01,19
9562080127,not_spam,1,7,289,29,0.03,22
8856152408,not_spam,2,3,80,14,0.02,11
8627547073,spam,412,67,15,3,3.91,6
7599049013,not_spam,1,7,61,49,0.02,22
7386306033,spam,276,78,12,8,4.93,0
9278503786,spam,168,45,34,3,4.59,4
9002890776,not_spam,2,5,393,85,0.02,10
6838145497,spam,258,34,28,3,2.88,1
7986276453,spam,444,25,11,9,3.6,6
6689165731,spam,135,44,14,14,2.74,4
8362845569,not_spam,0,8,127,67,0.03,9
8842925710,spam,428,83,5,3,4.18,5
7938577485,spam,250,65,20,6,2.5,1
8411232570,spam,204,78,31,3,2.49,0
6355321438,spam,134,99,54,14,1.1,2
9671601595,not_spam,0,4,115,85,0.02,8
6897147759,not_spam,1,2,90,50,0.05,15
6251990783,spam,88,47,21,6,1.32,2
6027804153,not_spam,2,2,515,100,0.04,18
8578182015,spam,321,89,16,9,2.0,3
8921605703,not_spam,2,2,135,41,0.01,18
7581744257,not_spam,0,9,572,40,0.04,8
9724467087,not_spam,0,5,205,34,0.04,14
7225312686,not_spam,0,9,572,40,0.04,8
9745833336,not_spam,2,9,115,39,0.04,20
6840567717,spam,288,38,55,10,3.49,1
7970664160,spam,257,30,50,15,1.77,1
8983658514,not_spam,2,8,574,32,0.02,12
6767866103,not_spam,0,10,549,14,0.01,12
6013332300,spam,411,63,27,4,4.03,4
9658349490,spam,332,73,53,13,4.79,1
7450537401,not_spam,1,9,124,12,0.03,16
7511122029,spam,442,52,14,9,1.14,1
7080011298,spam,480,86,38,11,4.13,0
8616275158,spam,320,25,17,12,1.08,0
6370841324,spam,441,52,46,4,2.68,5
6077160518,not_spam,2,5,181,84,0.05,15
6506081534,spam,285,78,28,5,4.88,1
9786970908,spam,342,73,15,8,4.7,0
8230582180,spam,381,98,27,3,1.78,4
7049294050,spam,287,20,36,6,4.11,2
6872465387,not_spam,1,8,276,26,0.02,16
6490192533,not_spam,2,5,415,62,0.0,16
7344750923,not_spam,1,3,185,40,0.0,12
7679137741,spam,332,73,53,13,4.79,1
6259528066,spam,327,82,50,10,2.57,3
7490890519,spam,342,73,15,8,4.7,0
9246644227,not_spam,2,9,308,84,0.0,17
6901542876,spam,471,29,43,9,1.61,6
9094746350,not_spam,1,8,345,23,0.02,20
6847713439,not_spam,0,5,151,63,0.05,8
9470862423,spam,349,23,25,5,3.85,1
8490219929,not_spam,2,2,309,49,0.03,18
9627420402,not_spam,0,4,419,77,0.04,14
8181477703,not_spam,0,2,467,51,0.02,19
6578760187,not_spam,0,4,446,88,0.02,20
6761797691,not_spam,1,6,315,23,0.01,12
9795334800,not_spam,0,10,583,54,0.05,16
7077325979,not_spam,1,10,264,72,0.02,8
9046202600,not_spam,2,2,208,31,0.03,17
9680243591,spam,282,50,17,12,3.71,4
6836979047,spam,329,73,26,9,3.67,4
7581695830,not_spam,2,7,198,100,0.05,22
9068961386,not_spam,1,7,345,84,0.01,15
8607201810,spam,118,86,34,13,3.99,2
7556262945,not_spam,0,7,590,16,0.0,21
9476581808,not_spam,1,9,146,40,0.01,10
8261611005,not_spam,2,2,318,64,0.02,15
6418082517,spam,418,65,43,9,4.07,6
7819314369,not_spam,1,2,77,72,0.05,12
7877086221,spam,78,39,53,4,1.12,6
6913522803,spam,246,100,43,12,4.12,3
9821341594,not_spam,0,4,186,10,0.02,20
9619624143,spam,132,84,41,6,4.54,4
7074264182,not_spam,2,5,145,98,0.0,16
6901805371,not_spam,2,10,432,42,0.02,14
9687063119,not_spam,1,4,84,28,0.03,16
8361138432,not_spam,1,3,499,58,0.03,19
6742084873,not_spam,1,1,335,52,0.0,9
9741761519,not_spam,2,7,275,78,0.01,18
9300508191,not_spam,0,7,590,16,0.0,21
7628148534,not_spam,0,6,492,27,0.02,13
8051496395,not_spam,1,8,340,94,0.02,15
7780033380,spam,132,36,59,5,2.43,1
7370651333,not_spam,1,6,111,12,0.01,18
7150130301,spam,251,71,51,14,3.89,4
8654711158,not_spam,0,9,409,53,0.05,18
6876134585,not_spam,2,9,587,29,0.05,18
8998842251,not_spam,1,4,177,54,0.04,17
6516336046,not_spam,0,8,134,60,0.05,21
7917848488,spam,283,65,52,14,3.97,0
8530259708,spam,224,45,13,3,1.14,5
6818864717,spam,221,76,40,11,4.5,1
9102914138,spam,58,53,35,10,1.01,0
7278299230,spam,480,85,9,7,4.46,2
7957811129,spam,463,80,36,5,4.68,0
8357929383,not_spam,2,8,117,66,0.03,16
8588740289,not_spam,1,2,373,30,0.01,8
8798018036,not_spam,0,4,527,86,0.02,16
6853185509,not_spam,0,8,222,84,0.03,15
8105975415,not_spam,1,8,358,34,0.04,16
7035239103,not_spam,1,3,554,74,0.02,12
6518166045,spam,70,25,5,14,1.11,5
8952513845,spam,419,59,24,4,2.72,0
